point_x,point_y,field,received_at,anchor,rssi_dbm
1.000,1.000,raw,1781430585.647,anchor_04,-84.000
1.000,1.000,raw,1781430585.650,anchor_02,-65.000
1.000,1.000,raw,1781430585.707,anchor_04,-73.000
1.000,1.000,raw,1781430586.312,anchor_01,-72.000
1.000,1.000,raw,1781430586.576,anchor_03,-71.000
1.000,1.000,raw,1781430586.661,anchor_04,-84.000
1.000,1.000,raw,1781430586.807,anchor_02,-65.000
1.000,1.000,raw,1781430586.821,anchor_03,-77.000
1.000,1.000,raw,1781430587.362,anchor_01,-75.000
1.000,1.000,raw,1781430587.415,anchor_01,-73.000
1.000,1.000,raw,1781430587.729,anchor_04,-84.000
1.000,1.000,raw,1781430587.729,anchor_02,-65.000
1.000,1.000,raw,1781430587.780,anchor_02,-65.000
1.000,1.000,raw,1781430587.780,anchor_02,-64.000
1.000,1.000,raw,1781430587.973,anchor_04,-81.000
1.000,1.000,raw,1781430587.973,anchor_04,-78.000
1.000,1.000,raw,1781430588.447,anchor_01,-76.000
1.000,1.000,raw,1781430588.651,anchor_03,-71.000
1.000,1.000,raw,1781430588.651,anchor_01,-73.000
1.000,1.000,raw,1781430588.823,anchor_04,-84.000
1.000,1.000,raw,1781430588.823,anchor_02,-66.000
1.000,1.000,raw,1781430588.861,anchor_03,-73.000
1.000,1.000,raw,1781430589.553,anchor_01,-69.000
1.000,1.000,raw,1781430589.789,anchor_01,-73.000
1.000,1.000,raw,1781430590.116,anchor_04,-82.000
1.000,1.000,raw,1781430590.116,anchor_02,-67.000
1.000,1.000,raw,1781430590.196,anchor_02,-66.000
1.000,1.000,raw,1781430590.597,anchor_01,-69.000
1.000,1.000,raw,1781430590.737,anchor_03,-70.000
1.000,1.000,raw,1781430590.905,anchor_04,-74.000
1.000,1.000,raw,1781430590.914,anchor_03,-70.000
1.000,1.000,raw,1781430590.928,anchor_02,-65.000
1.000,1.000,raw,1781430591.133,anchor_04,-79.000
1.000,1.000,raw,1781430591.146,anchor_02,-64.000
1.000,1.000,raw,1781430591.623,anchor_01,-75.000
1.000,1.000,raw,1781430591.825,anchor_03,-70.000
1.000,1.000,raw,1781430591.837,anchor_01,-75.000
1.000,1.000,raw,1781430592.030,anchor_02,-66.000
1.000,1.000,raw,1781430592.044,anchor_03,-70.000
1.000,1.000,raw,1781430592.044,anchor_03,-70.000
1.000,1.000,raw,1781430592.172,anchor_02,-94.000
1.000,1.000,raw,1781430592.172,anchor_02,-64.000
1.000,1.000,raw,1781430592.720,anchor_01,-73.000
1.000,1.000,raw,1781430592.902,anchor_03,-77.000
1.000,1.000,raw,1781430593.088,anchor_02,-65.000
1.000,1.000,raw,1781430593.165,anchor_02,-70.000
1.000,1.000,raw,1781430593.165,anchor_02,-64.000
1.000,1.000,raw,1781430593.771,anchor_01,-69.000
1.000,1.000,raw,1781430593.892,anchor_01,-75.000
1.000,1.000,raw,1781430594.037,anchor_04,-77.000
1.000,1.000,raw,1781430594.204,anchor_02,-64.000
1.000,1.000,raw,1781430594.222,anchor_03,-72.000
1.000,1.000,raw,1781430594.293,anchor_02,-65.000
1.000,1.000,raw,1781430594.814,anchor_01,-73.000
1.000,1.000,raw,1781430595.016,anchor_01,-73.000
1.000,1.000,raw,1781430595.206,anchor_04,-83.000
1.000,1.000,raw,1781430595.520,anchor_02,-70.000
1.000,1.000,raw,1781430595.726,anchor_02,-71.000
1.000,1.000,raw,1781430596.129,anchor_04,-75.000
1.000,1.000,raw,1781430596.333,anchor_03,-78.000
1.000,1.000,raw,1781430596.333,anchor_02,-65.000
1.000,1.000,raw,1781430596.443,anchor_02,-70.000
1.000,1.000,raw,1781430597.048,anchor_01,-73.000
1.000,1.000,raw,1781430597.071,anchor_03,-71.000
1.000,1.000,raw,1781430597.098,anchor_01,-69.000
1.000,1.000,raw,1781430597.181,anchor_04,-77.000
1.000,1.000,raw,1781430597.267,anchor_04,-81.000
1.000,1.000,raw,1781430597.391,anchor_02,-65.000
1.000,1.000,raw,1781430598.123,anchor_03,-72.000
1.000,1.000,raw,1781430599.045,anchor_01,-74.000
1.000,1.000,raw,1781430599.099,anchor_01,-72.000
1.000,1.000,raw,1781430599.301,anchor_04,-83.000
1.000,1.000,raw,1781430599.303,anchor_03,-70.000
1.000,1.000,raw,1781430599.419,anchor_04,-74.000
1.000,1.000,raw,1781430599.505,anchor_02,-67.000
1.000,1.000,raw,1781430599.717,anchor_02,-64.000
1.000,1.000,raw,1781430599.717,anchor_02,-72.000
1.000,1.000,raw,1781430600.090,anchor_01,-76.000
1.000,1.000,raw,1781430600.222,anchor_03,-77.000
1.000,1.000,raw,1781430601.144,anchor_01,-73.000
1.000,1.000,raw,1781430601.278,anchor_03,-72.000
1.000,1.000,raw,1781430601.285,anchor_01,-73.000
1.000,1.000,raw,1781430601.766,anchor_02,-66.000
1.000,1.000,raw,1781430601.870,anchor_02,-73.000
1.000,1.000,raw,1781430602.206,anchor_01,-72.000
1.000,1.000,raw,1781430602.311,anchor_03,-71.000
1.000,1.000,raw,1781430602.392,anchor_04,-86.000
1.000,1.000,raw,1781430603.320,anchor_01,-70.000
1.000,1.000,raw,1781430603.705,anchor_02,-65.000
1.000,1.000,raw,1781430603.750,anchor_02,-72.000
1.000,1.000,raw,1781430603.750,anchor_02,-64.000
1.000,1.000,raw,1781430604.439,anchor_03,-77.000
1.000,1.000,raw,1781430604.641,anchor_03,-73.000
1.000,1.000,raw,1781430604.809,anchor_02,-66.000
1.000,1.000,raw,1781430604.863,anchor_02,-64.000
1.000,1.000,raw,1781430604.863,anchor_02,-72.000
1.000,1.000,raw,1781430604.863,anchor_02,-66.000
1.000,1.000,raw,1781430605.366,anchor_01,-70.000
1.000,1.000,raw,1781430605.415,anchor_01,-70.000
1.000,1.000,raw,1781430605.415,anchor_01,-73.000
1.000,1.000,raw,1781430605.415,anchor_01,-74.000
1.000,1.000,raw,1781430605.457,anchor_03,-77.000
1.000,1.000,raw,1781430605.552,anchor_04,-72.000
1.000,1.000,raw,1781430605.927,anchor_02,-71.000
1.000,1.000,raw,1781430606.479,anchor_01,-75.000
1.000,1.000,raw,1781430606.504,anchor_03,-78.000
1.000,1.000,raw,1781430606.585,anchor_01,-74.000
