anchor,distance_m,field,sample_index,received_at,rssi_dbm
anchor_04,1.000,raw,1,1781415324.967,-69.000
anchor_04,1.000,raw,2,1781415326.049,-69.000
anchor_04,1.000,raw,3,1781415326.182,-69.000
anchor_04,1.000,raw,4,1781415327.177,-69.000
anchor_04,1.000,raw,5,1781415329.162,-70.000
anchor_04,1.000,raw,6,1781415330.353,-70.000
anchor_04,1.000,raw,7,1781415330.456,-76.000
anchor_04,1.000,raw,8,1781415332.315,-76.000
anchor_04,1.000,raw,9,1781415332.370,-75.000
anchor_04,1.000,raw,10,1781415332.370,-75.000
anchor_04,1.000,raw,11,1781415333.442,-70.000
anchor_04,1.000,raw,12,1781415333.536,-70.000
anchor_04,1.000,raw,13,1781415333.536,-76.000
anchor_04,1.000,raw,14,1781415334.549,-71.000
anchor_04,1.000,raw,15,1781415335.571,-71.000
anchor_04,1.000,raw,16,1781415336.595,-70.000
anchor_04,1.000,raw,17,1781415336.709,-72.000
anchor_04,1.000,raw,18,1781415337.723,-71.000
anchor_04,1.000,raw,19,1781415338.748,-71.000
anchor_04,1.000,raw,20,1781415339.771,-71.000
anchor_04,1.000,raw,21,1781415340.923,-71.000
anchor_04,1.000,raw,22,1781415341.855,-70.000
anchor_04,1.000,raw,23,1781415341.901,-82.000
anchor_04,1.000,raw,24,1781415341.901,-68.000
anchor_04,1.000,raw,25,1781415342.945,-81.000
anchor_04,1.000,raw,26,1781415342.996,-78.000
anchor_04,1.000,raw,27,1781415344.044,-71.000
anchor_04,1.000,raw,28,1781415345.148,-71.000
anchor_04,1.000,raw,29,1781415345.208,-78.000
anchor_04,1.000,raw,30,1781415345.208,-69.000
anchor_04,1.000,raw,31,1781415346.157,-78.000
anchor_04,1.000,raw,32,1781415346.335,-69.000
anchor_04,1.000,raw,33,1781415346.335,-75.000
anchor_04,1.000,raw,34,1781415347.249,-70.000
anchor_04,1.000,raw,35,1781415347.391,-77.000
anchor_04,1.000,raw,36,1781415348.319,-76.000
anchor_04,1.000,raw,37,1781415348.382,-71.000
anchor_04,1.000,raw,38,1781415349.502,-71.000
anchor_04,1.000,raw,39,1781415350.439,-69.000
anchor_04,1.000,raw,40,1781415352.512,-73.000
anchor_04,1.000,raw,41,1781415353.594,-69.000
anchor_04,1.000,raw,42,1781415354.640,-69.000
anchor_04,1.000,raw,43,1781415355.658,-69.000
anchor_04,1.000,raw,44,1781415356.704,-76.000
anchor_04,1.000,raw,45,1781415357.796,-71.000
anchor_04,1.000,raw,46,1781415358.817,-76.000
anchor_04,1.000,raw,47,1781415358.930,-69.000
anchor_04,1.000,raw,48,1781415358.930,-75.000
anchor_04,1.000,raw,49,1781415358.930,-75.000
anchor_04,1.000,raw,50,1781415359.943,-68.000
anchor_04,1.000,raw,51,1781415360.066,-69.000
anchor_04,1.000,raw,52,1781415360.066,-75.000
anchor_04,1.000,raw,53,1781415361.006,-69.000
anchor_04,1.000,raw,54,1781415362.094,-74.000
anchor_04,1.000,raw,55,1781415362.453,-76.000
anchor_04,1.000,raw,56,1781415363.192,-75.000
anchor_04,1.000,raw,57,1781415363.435,-69.000
anchor_04,1.000,raw,58,1781415364.213,-74.000
anchor_04,1.000,raw,59,1781415364.365,-75.000
anchor_04,1.000,raw,60,1781415366.396,-68.000
anchor_04,1.000,raw,61,1781415366.442,-75.000
anchor_04,1.000,raw,62,1781415367.362,-75.000
anchor_04,1.000,raw,63,1781415368.443,-69.000
anchor_04,1.000,raw,64,1781415368.648,-68.000
anchor_04,1.000,raw,65,1781415369.519,-72.000
anchor_04,1.000,raw,66,1781415370.530,-71.000
anchor_04,1.000,raw,67,1781415371.618,-68.000
anchor_04,1.000,raw,68,1781415371.758,-70.000
anchor_04,1.000,raw,69,1781415372.682,-81.000
anchor_04,1.000,raw,70,1781415373.697,-70.000
anchor_04,1.000,raw,71,1781415374.088,-71.000
anchor_04,1.000,raw,72,1781415374.088,-68.000
anchor_04,1.000,raw,73,1781415374.796,-69.000
anchor_04,1.000,raw,74,1781415374.920,-75.000
anchor_04,1.000,raw,75,1781415374.920,-69.000
anchor_04,1.000,raw,76,1781415375.918,-69.000
anchor_04,1.000,raw,77,1781415376.030,-74.000
anchor_04,1.000,raw,78,1781415376.030,-69.000
anchor_04,1.000,raw,79,1781415376.970,-69.000
anchor_04,1.000,raw,80,1781415377.034,-75.000
anchor_04,1.000,raw,81,1781415378.069,-75.000
anchor_04,1.000,raw,82,1781415378.121,-75.000
anchor_04,1.000,raw,83,1781415378.121,-74.000
anchor_04,1.000,raw,84,1781415379.198,-76.000
anchor_04,1.000,raw,85,1781415380.220,-74.000
anchor_04,1.000,raw,86,1781415380.333,-74.000
anchor_04,1.000,raw,87,1781415381.249,-75.000
anchor_04,1.000,raw,88,1781415381.346,-75.000
anchor_04,1.000,raw,89,1781415382.349,-75.000
anchor_04,1.000,raw,90,1781415383.394,-69.000
