anchor,distance_m,field,sample_index,received_at,rssi_dbm
anchor_04,4.000,raw,1,1781410276.143,-77.000
anchor_04,4.000,raw,2,1781410276.589,-77.000
anchor_04,4.000,raw,3,1781410277.294,-80.000
anchor_04,4.000,raw,4,1781410277.442,-78.000
anchor_04,4.000,raw,5,1781410278.242,-78.000
anchor_04,4.000,raw,6,1781410278.426,-65.000
anchor_04,4.000,raw,7,1781410279.484,-71.000
anchor_04,4.000,raw,8,1781410281.389,-69.000
anchor_04,4.000,raw,9,1781410281.439,-68.000
anchor_04,4.000,raw,10,1781410282.481,-67.000
anchor_04,4.000,raw,11,1781410283.249,-68.000
anchor_04,4.000,raw,12,1781410283.763,-73.000
anchor_04,4.000,raw,13,1781410285.639,-76.000
anchor_04,4.000,raw,14,1781410285.691,-74.000
anchor_04,4.000,raw,15,1781410286.824,-74.000
anchor_04,4.000,raw,16,1781410287.022,-65.000
anchor_04,4.000,raw,17,1781410288.790,-70.000
anchor_04,4.000,raw,18,1781410288.868,-76.000
anchor_04,4.000,raw,19,1781410289.906,-72.000
anchor_04,4.000,raw,20,1781410290.912,-73.000
anchor_04,4.000,raw,21,1781410291.953,-82.000
anchor_04,4.000,raw,22,1781410292.149,-75.000
anchor_04,4.000,raw,23,1781410293.078,-78.000
anchor_04,4.000,raw,24,1781410294.087,-72.000
anchor_04,4.000,raw,25,1781410295.111,-81.000
