anchor,distance_m,field,sample_index,received_at,rssi_dbm
anchor_01,1.000,raw,1,1781409558.615,-71.000
anchor_01,1.000,raw,2,1781409559.639,-65.000
anchor_01,1.000,raw,3,1781409559.690,-65.000
anchor_01,1.000,raw,4,1781409559.691,-65.000
anchor_01,1.000,raw,5,1781409559.997,-65.000
anchor_01,1.000,raw,6,1781409559.997,-65.000
anchor_01,1.000,raw,7,1781409560.772,-67.000
anchor_01,1.000,raw,8,1781409561.496,-67.000
anchor_01,1.000,raw,9,1781409561.838,-68.000
anchor_01,1.000,raw,10,1781409561.892,-69.000
anchor_01,1.000,raw,11,1781409561.892,-69.000
anchor_01,1.000,raw,12,1781409562.932,-67.000
anchor_01,1.000,raw,13,1781409562.991,-67.000
anchor_01,1.000,raw,14,1781409564.356,-69.000
anchor_01,1.000,raw,15,1781409564.497,-62.000
anchor_01,1.000,raw,16,1781409565.073,-67.000
anchor_01,1.000,raw,17,1781409566.165,-62.000
anchor_01,1.000,raw,18,1781409566.232,-62.000
anchor_01,1.000,raw,19,1781409568.240,-67.000
anchor_01,1.000,raw,20,1781409568.344,-71.000
anchor_01,1.000,raw,21,1781409569.369,-72.000
anchor_01,1.000,raw,22,1781409569.470,-64.000
anchor_01,1.000,raw,23,1781409570.497,-64.000
anchor_01,1.000,raw,24,1781409570.709,-64.000
anchor_01,1.000,raw,25,1781409570.709,-64.000
anchor_01,1.000,raw,26,1781409571.445,-65.000
anchor_01,1.000,raw,27,1781409571.509,-66.000
anchor_01,1.000,raw,28,1781409571.509,-66.000
anchor_01,1.000,raw,29,1781409572.541,-66.000
anchor_01,1.000,raw,30,1781409572.862,-66.000
anchor_01,1.000,raw,31,1781409573.619,-67.000
anchor_01,1.000,raw,32,1781409573.675,-69.000
anchor_01,1.000,raw,33,1781409573.675,-68.000
anchor_01,1.000,raw,34,1781409574.735,-72.000
anchor_01,1.000,raw,35,1781409574.797,-72.000
anchor_01,1.000,raw,36,1781409575.769,-66.000
anchor_01,1.000,raw,37,1781409575.850,-66.000
anchor_01,1.000,raw,38,1781409575.850,-67.000
anchor_01,1.000,raw,39,1781409576.897,-66.000
anchor_01,1.000,raw,40,1781409576.954,-80.000
anchor_01,1.000,raw,41,1781409576.954,-87.000
anchor_01,1.000,raw,42,1781409578.019,-70.000
anchor_01,1.000,raw,43,1781409578.074,-67.000
anchor_01,1.000,raw,44,1781409578.074,-69.000
anchor_01,2.000,raw,1,1781409589.688,-70.000
anchor_01,2.000,raw,2,1781409590.770,-65.000
anchor_01,2.000,raw,3,1781409591.793,-69.000
anchor_01,2.000,raw,4,1781409591.841,-67.000
anchor_01,2.000,raw,5,1781409592.884,-64.000
anchor_01,2.000,raw,6,1781409592.937,-71.000
anchor_01,2.000,raw,7,1781409594.968,-65.000
anchor_01,2.000,raw,8,1781409595.083,-64.000
anchor_01,2.000,raw,9,1781409596.022,-65.000
anchor_01,2.000,raw,10,1781409597.131,-70.000
anchor_01,2.000,raw,11,1781409597.240,-65.000
anchor_01,2.000,raw,12,1781409598.145,-66.000
anchor_01,2.000,raw,13,1781409598.254,-68.000
anchor_01,2.000,raw,14,1781409598.254,-66.000
anchor_01,2.000,raw,15,1781409599.227,-67.000
anchor_01,2.000,raw,16,1781409600.294,-69.000
anchor_01,2.000,raw,17,1781409600.402,-69.000
anchor_01,2.000,raw,18,1781409601.347,-66.000
anchor_01,2.000,raw,19,1781409602.417,-70.000
anchor_01,2.000,raw,20,1781409602.975,-70.000
anchor_01,2.000,raw,21,1781409603.468,-68.000
anchor_01,2.000,raw,22,1781409604.566,-74.000
anchor_01,2.000,raw,23,1781409604.613,-74.000
anchor_01,2.000,raw,24,1781409605.619,-71.000
anchor_01,2.000,raw,25,1781409606.642,-70.000
anchor_01,2.000,raw,26,1781409606.791,-73.000
anchor_01,2.000,raw,27,1781409607.705,-70.000
anchor_01,2.000,raw,28,1781409608.748,-71.000
anchor_01,2.000,raw,29,1781409609.119,-71.000
anchor_01,2.000,raw,30,1781409609.120,-71.000
anchor_01,3.000,raw,1,1781409621.521,-69.000
anchor_01,3.000,raw,2,1781409622.561,-67.000
anchor_01,3.000,raw,3,1781409622.739,-59.000
anchor_01,3.000,raw,4,1781409622.739,-58.000
anchor_01,3.000,raw,5,1781409622.739,-61.000
anchor_01,3.000,raw,6,1781409623.675,-56.000
anchor_01,3.000,raw,7,1781409623.735,-58.000
anchor_01,3.000,raw,8,1781409624.769,-65.000
anchor_01,3.000,raw,9,1781409624.891,-65.000
anchor_01,3.000,raw,10,1781409625.812,-65.000
anchor_01,3.000,raw,11,1781409626.890,-65.000
anchor_01,3.000,raw,12,1781409626.948,-63.000
anchor_01,3.000,raw,13,1781409626.948,-64.000
anchor_01,3.000,raw,14,1781409626.949,-58.000
anchor_01,3.000,raw,15,1781409627.996,-64.000
anchor_01,3.000,raw,16,1781409628.259,-72.000
anchor_01,3.000,raw,17,1781409629.123,-70.000
anchor_01,3.000,raw,18,1781409629.180,-66.000
anchor_01,3.000,raw,19,1781409630.137,-85.000
anchor_01,3.000,raw,20,1781409630.305,-66.000
anchor_01,3.000,raw,21,1781409630.305,-83.000
anchor_01,3.000,raw,22,1781409631.227,-70.000
anchor_01,3.000,raw,23,1781409632.316,-69.000
anchor_01,3.000,raw,24,1781409632.361,-68.000
anchor_01,3.000,raw,25,1781409633.479,-75.000
anchor_01,3.000,raw,26,1781409633.615,-70.000
anchor_01,3.000,raw,27,1781409636.544,-70.000
anchor_01,3.000,raw,28,1781409636.599,-73.000
anchor_01,3.000,raw,29,1781409637.573,-74.000
anchor_01,3.000,raw,30,1781409638.604,-71.000
anchor_01,3.000,raw,31,1781409639.634,-76.000
anchor_01,3.000,raw,32,1781409639.689,-77.000
anchor_01,4.000,raw,1,1781409655.473,-73.000
anchor_01,4.000,raw,2,1781409655.533,-72.000
anchor_01,4.000,raw,3,1781409656.616,-74.000
anchor_01,4.000,raw,4,1781409656.774,-73.000
anchor_01,4.000,raw,5,1781409656.774,-72.000
anchor_01,4.000,raw,6,1781409657.583,-75.000
anchor_01,4.000,raw,7,1781409657.745,-69.000
anchor_01,4.000,raw,8,1781409658.665,-68.000
anchor_01,4.000,raw,9,1781409658.774,-72.000
anchor_01,4.000,raw,10,1781409658.774,-75.000
anchor_01,4.000,raw,11,1781409659.747,-75.000
anchor_01,4.000,raw,12,1781409659.798,-70.000
anchor_01,4.000,raw,13,1781409659.799,-71.000
anchor_01,4.000,raw,14,1781409660.843,-70.000
anchor_01,4.000,raw,15,1781409661.951,-70.000
anchor_01,4.000,raw,16,1781409662.054,-70.000
anchor_01,4.000,raw,17,1781409662.054,-70.000
anchor_01,4.000,raw,18,1781409662.974,-70.000
anchor_01,4.000,raw,19,1781409663.023,-69.000
anchor_01,4.000,raw,20,1781409663.023,-72.000
anchor_01,4.000,raw,21,1781409664.201,-73.000
anchor_01,4.000,raw,22,1781409665.117,-68.000
anchor_01,4.000,raw,23,1781409667.250,-71.000
anchor_01,4.000,raw,24,1781409667.314,-68.000
anchor_01,4.000,raw,25,1781409668.290,-70.000
anchor_01,4.000,raw,26,1781409669.430,-69.000
anchor_01,4.000,raw,27,1781409669.531,-68.000
anchor_01,4.000,raw,28,1781409669.531,-68.000
anchor_01,4.000,raw,29,1781409670.395,-68.000
anchor_01,4.000,raw,30,1781409671.464,-68.000
anchor_01,4.000,raw,31,1781409671.578,-68.000
anchor_01,4.000,raw,32,1781409671.578,-72.000
anchor_01,4.000,raw,33,1781409672.534,-73.000
anchor_01,4.000,raw,34,1781409672.599,-68.000
