anchor,distance_m,field,sample_index,received_at,rssi_dbm
anchor_01,1.000,raw,1,1781410806.941,-69.000
anchor_01,1.000,raw,2,1781410807.336,-62.000
anchor_01,1.000,raw,3,1781410808.384,-71.000
anchor_01,1.000,raw,4,1781410809.456,-61.000
anchor_01,1.000,raw,5,1781410809.705,-76.000
anchor_01,1.000,raw,6,1781410810.572,-61.000
anchor_01,1.000,raw,7,1781410810.628,-61.000
anchor_01,1.000,raw,8,1781410810.628,-67.000
anchor_01,1.000,raw,9,1781410811.591,-61.000
anchor_01,1.000,raw,10,1781410811.757,-61.000
anchor_01,1.000,raw,11,1781410812.663,-72.000
anchor_01,1.000,raw,12,1781410813.735,-69.000
anchor_01,1.000,raw,13,1781410813.789,-61.000
anchor_01,1.000,raw,14,1781410813.789,-61.000
anchor_01,1.000,raw,15,1781410813.789,-61.000
anchor_01,1.000,raw,16,1781410814.024,-71.000
anchor_01,1.000,raw,17,1781410814.845,-67.000
anchor_01,1.000,raw,18,1781410815.965,-70.000
anchor_01,1.000,raw,19,1781410816.962,-64.000
anchor_01,1.000,raw,20,1781410817.090,-64.000
anchor_01,1.000,raw,21,1781410818.012,-81.000
anchor_01,1.000,raw,22,1781410819.223,-63.000
anchor_01,1.000,raw,23,1781410819.328,-74.000
anchor_01,1.000,raw,24,1781410820.137,-76.000
anchor_01,1.000,raw,25,1781410820.247,-71.000
anchor_01,1.000,raw,26,1781410821.202,-70.000
anchor_01,1.000,raw,27,1781410822.288,-66.000
anchor_01,1.000,raw,28,1781410822.396,-67.000
anchor_01,1.000,raw,29,1781410824.349,-68.000
anchor_01,1.000,raw,30,1781410824.399,-68.000
anchor_01,1.000,raw,31,1781410824.399,-75.000
anchor_01,1.000,raw,32,1781410825.462,-72.000
anchor_01,1.000,raw,33,1781410825.527,-70.000
anchor_01,1.000,raw,34,1781410825.527,-68.000
anchor_01,1.000,raw,35,1781410827.560,-68.000
anchor_01,1.000,raw,36,1781410828.637,-77.000
anchor_01,1.000,raw,37,1781410828.688,-77.000
anchor_01,1.000,raw,38,1781410828.688,-67.000
anchor_01,1.000,raw,39,1781410828.688,-67.000
anchor_01,1.000,raw,40,1781410829.727,-68.000
anchor_01,1.000,raw,41,1781410829.786,-80.000
anchor_01,1.000,raw,42,1781410830.850,-80.000
anchor_01,1.000,raw,43,1781410830.898,-69.000
anchor_01,1.000,raw,44,1781410831.862,-70.000
anchor_01,1.000,raw,45,1781410832.948,-82.000
anchor_01,1.000,raw,46,1781410833.155,-63.000
anchor_01,1.000,raw,47,1781410834.012,-76.000
anchor_01,1.000,raw,48,1781410834.067,-64.000
anchor_01,1.000,raw,49,1781410835.192,-73.000
anchor_01,1.000,raw,50,1781410836.119,-65.000
anchor_01,1.000,raw,51,1781410836.242,-70.000
anchor_01,1.000,raw,52,1781410837.169,-74.000
anchor_01,1.000,raw,53,1781410838.294,-64.000
anchor_01,1.000,raw,54,1781410839.293,-77.000
anchor_01,1.000,raw,55,1781410839.403,-64.000
anchor_01,1.000,raw,56,1781410840.338,-63.000
anchor_01,1.000,raw,57,1781410840.394,-75.000
anchor_01,1.000,raw,58,1781410842.466,-65.000
anchor_01,1.000,raw,59,1781410842.568,-76.000
anchor_01,1.000,raw,60,1781410844.535,-63.000
anchor_01,1.000,raw,61,1781410844.618,-64.000
anchor_01,1.000,raw,62,1781410846.660,-72.000
anchor_01,1.000,raw,63,1781410846.880,-73.000
anchor_01,1.000,raw,64,1781410848.730,-64.000
anchor_01,1.000,raw,65,1781410849.847,-67.000
anchor_01,1.000,raw,66,1781410850.051,-64.000
anchor_01,1.000,raw,67,1781410850.051,-75.000
anchor_01,1.000,raw,68,1781410850.932,-65.000
anchor_01,1.000,raw,69,1781410850.986,-71.000
anchor_01,1.000,raw,70,1781410850.986,-72.000
anchor_01,1.000,raw,71,1781410853.017,-66.000
anchor_01,1.000,raw,72,1781410853.219,-74.000
anchor_01,1.000,raw,73,1781410854.097,-61.000
anchor_01,1.000,raw,74,1781410854.145,-69.000
anchor_01,1.000,raw,75,1781410855.273,-67.000
anchor_01,1.000,raw,76,1781410856.191,-72.000
anchor_01,1.000,raw,77,1781410857.256,-71.000
anchor_01,1.000,raw,78,1781410857.321,-64.000
anchor_01,1.000,raw,79,1781410858.439,-89.000
anchor_01,1.000,raw,80,1781410859.358,-73.000
anchor_01,1.000,raw,81,1781410860.420,-79.000
anchor_01,1.000,raw,82,1781410861.439,-75.000
anchor_01,1.000,raw,83,1781410861.624,-74.000
anchor_01,1.000,raw,84,1781410861.624,-62.000
anchor_01,1.000,raw,85,1781410862.533,-75.000
anchor_01,1.000,raw,86,1781410862.663,-76.000
anchor_01,1.000,raw,87,1781410864.698,-86.000
anchor_01,1.000,raw,88,1781410865.722,-71.000
anchor_01,1.000,raw,89,1781410865.817,-64.000
anchor_01,1.000,raw,90,1781410866.747,-80.000
anchor_01,2.000,raw,1,1781410893.567,-69.000
anchor_01,2.000,raw,2,1781410894.484,-67.000
anchor_01,2.000,raw,3,1781410894.534,-62.000
anchor_01,2.000,raw,4,1781410895.580,-68.000
anchor_01,2.000,raw,5,1781410895.632,-62.000
anchor_01,2.000,raw,6,1781410895.632,-70.000
anchor_01,2.000,raw,7,1781410896.880,-61.000
anchor_01,2.000,raw,8,1781410897.689,-72.000
anchor_01,2.000,raw,9,1781410898.742,-73.000
anchor_01,2.000,raw,10,1781410898.935,-67.000
anchor_01,2.000,raw,11,1781410899.911,-69.000
anchor_01,2.000,raw,12,1781410900.877,-70.000
anchor_01,2.000,raw,13,1781410901.906,-72.000
anchor_01,2.000,raw,14,1781410901.958,-73.000
anchor_01,2.000,raw,15,1781410901.958,-73.000
anchor_01,2.000,raw,16,1781410904.029,-62.000
anchor_01,2.000,raw,17,1781410905.070,-70.000
anchor_01,2.000,raw,18,1781410905.124,-70.000
anchor_01,2.000,raw,19,1781410906.186,-69.000
anchor_01,2.000,raw,20,1781410906.266,-69.000
anchor_01,2.000,raw,21,1781410907.213,-69.000
anchor_01,2.000,raw,22,1781410908.266,-61.000
anchor_01,2.000,raw,23,1781410908.314,-70.000
anchor_01,2.000,raw,24,1781410908.314,-70.000
anchor_01,2.000,raw,25,1781410910.564,-74.000
anchor_01,2.000,raw,26,1781410910.875,-62.000
anchor_01,2.000,raw,27,1781410911.483,-70.000
anchor_01,2.000,raw,28,1781410913.536,-70.000
anchor_01,2.000,raw,29,1781410913.850,-71.000
anchor_01,2.000,raw,30,1781410914.606,-71.000
anchor_01,2.000,raw,31,1781410914.976,-65.000
anchor_01,2.000,raw,32,1781410915.681,-72.000
anchor_01,2.000,raw,33,1781410915.893,-73.000
anchor_01,2.000,raw,34,1781410916.788,-71.000
anchor_01,2.000,raw,35,1781410917.025,-71.000
anchor_01,2.000,raw,36,1781410917.025,-71.000
anchor_01,2.000,raw,37,1781410917.895,-63.000
anchor_01,2.000,raw,38,1781410917.941,-64.000
anchor_01,2.000,raw,39,1781410917.941,-73.000
anchor_01,2.000,raw,40,1781410919.982,-74.000
anchor_01,2.000,raw,41,1781410920.136,-76.000
anchor_01,2.000,raw,42,1781410921.059,-76.000
anchor_01,2.000,raw,43,1781410922.077,-76.000
anchor_01,2.000,raw,44,1781410922.656,-72.000
anchor_01,2.000,raw,45,1781410922.656,-77.000
anchor_01,2.000,raw,46,1781410924.220,-77.000
anchor_01,2.000,raw,47,1781410924.310,-69.000
anchor_01,2.000,raw,48,1781410925.267,-76.000
anchor_01,2.000,raw,49,1781410926.333,-82.000
anchor_01,2.000,raw,50,1781410928.391,-73.000
anchor_01,2.000,raw,51,1781410928.596,-65.000
