anchor,distance_m,field,sample_index,received_at,rssi_dbm
anchor_01,1.000,raw,1,1781413872.707,-56.000
anchor_01,1.000,raw,2,1781413872.947,-55.000
anchor_01,1.000,raw,3,1781413873.820,-56.000
anchor_01,1.000,raw,4,1781413873.870,-56.000
anchor_01,1.000,raw,5,1781413873.870,-56.000
anchor_01,1.000,raw,6,1781413874.827,-56.000
anchor_01,1.000,raw,7,1781413875.004,-55.000
anchor_01,1.000,raw,8,1781413876.972,-56.000
anchor_01,1.000,raw,9,1781413877.027,-55.000
anchor_01,1.000,raw,10,1781413877.027,-56.000
anchor_01,1.000,raw,11,1781413877.027,-57.000
anchor_01,1.000,raw,12,1781413877.027,-59.000
anchor_01,1.000,raw,13,1781413877.243,-65.000
anchor_01,1.000,raw,14,1781413878.091,-54.000
anchor_01,1.000,raw,15,1781413878.144,-55.000
anchor_01,1.000,raw,16,1781413879.204,-54.000
anchor_01,1.000,raw,17,1781413879.276,-55.000
anchor_01,1.000,raw,18,1781413880.233,-67.000
anchor_01,1.000,raw,19,1781413880.321,-70.000
anchor_01,1.000,raw,20,1781413882.365,-59.000
anchor_01,1.000,raw,21,1781413882.558,-65.000
anchor_01,1.000,raw,22,1781413882.558,-56.000
anchor_01,1.000,raw,23,1781413882.558,-58.000
anchor_01,1.000,raw,24,1781413882.558,-59.000
anchor_01,1.000,raw,25,1781413883.488,-59.000
anchor_01,1.000,raw,26,1781413883.546,-57.000
anchor_01,1.000,raw,27,1781413883.546,-57.000
anchor_01,1.000,raw,28,1781413884.601,-59.000
anchor_01,1.000,raw,29,1781413885.624,-59.000
anchor_01,1.000,raw,30,1781413885.743,-56.000
anchor_01,1.000,raw,31,1781413886.732,-56.000
anchor_01,1.000,raw,32,1781413886.868,-55.000
anchor_01,1.000,raw,33,1781413887.777,-59.000
anchor_01,1.000,raw,34,1781413887.982,-67.000
anchor_01,1.000,raw,35,1781413887.982,-58.000
anchor_01,1.000,raw,36,1781413888.882,-56.000
anchor_01,1.000,raw,37,1781413889.123,-68.000
anchor_01,1.000,raw,38,1781413889.123,-59.000
anchor_01,1.000,raw,39,1781413890.042,-59.000
anchor_01,1.000,raw,40,1781413890.183,-56.000
anchor_01,1.000,raw,41,1781413890.998,-58.000
anchor_01,1.000,raw,42,1781413891.164,-69.000
anchor_01,1.000,raw,43,1781413891.164,-57.000
anchor_01,1.000,raw,44,1781413892.091,-69.000
anchor_01,1.000,raw,45,1781413893.158,-56.000
anchor_01,1.000,raw,46,1781413893.215,-68.000
anchor_01,1.000,raw,47,1781413893.215,-59.000
anchor_01,1.000,raw,48,1781413894.274,-56.000
anchor_01,1.000,raw,49,1781413894.340,-56.000
anchor_01,1.000,raw,50,1781413895.301,-56.000
anchor_01,1.000,raw,51,1781413896.378,-71.000
anchor_01,1.000,raw,52,1781413897.450,-60.000
anchor_01,1.000,raw,53,1781413897.623,-60.000
anchor_01,1.000,raw,54,1781413897.623,-70.000
anchor_01,1.000,raw,55,1781413897.623,-70.000
anchor_01,1.000,raw,56,1781413898.561,-60.000
anchor_01,1.000,raw,57,1781413898.645,-58.000
anchor_01,1.000,raw,58,1781413899.583,-62.000
anchor_01,1.000,raw,59,1781413899.667,-60.000
anchor_01,1.000,raw,60,1781413900.677,-69.000
anchor_01,1.000,raw,61,1781413900.788,-54.000
anchor_01,1.000,raw,62,1781413901.720,-56.000
anchor_01,1.000,raw,63,1781413901.777,-56.000
anchor_01,1.000,raw,64,1781413901.777,-68.000
anchor_01,1.000,raw,65,1781413902.126,-59.000
anchor_01,1.000,raw,66,1781413902.127,-59.000
anchor_01,1.000,raw,67,1781413902.127,-69.000
anchor_01,1.000,raw,68,1781413902.886,-69.000
anchor_01,1.000,raw,69,1781413903.956,-58.000
anchor_01,1.000,raw,70,1781413904.982,-59.000
anchor_01,1.000,raw,71,1781413905.087,-56.000
anchor_01,1.000,raw,72,1781413907.112,-56.000
anchor_01,1.000,raw,73,1781413907.350,-59.000
anchor_01,1.000,raw,74,1781413908.236,-59.000
anchor_01,1.000,raw,75,1781413908.287,-66.000
anchor_01,1.000,raw,76,1781413908.287,-64.000
anchor_01,1.000,raw,77,1781413909.385,-56.000
anchor_01,1.000,raw,78,1781413909.433,-65.000
anchor_01,1.000,raw,79,1781413910.335,-60.000
anchor_01,1.000,raw,80,1781413911.380,-59.000
anchor_01,1.000,raw,81,1781413911.439,-60.000
anchor_01,1.000,raw,82,1781413912.502,-72.000
anchor_01,1.000,raw,83,1781413912.561,-59.000
anchor_01,1.000,raw,84,1781413913.524,-60.000
anchor_01,1.000,raw,85,1781413913.714,-60.000
anchor_01,1.000,raw,86,1781413913.714,-72.000
anchor_01,1.000,raw,87,1781413914.630,-59.000
anchor_01,1.000,raw,88,1781413914.738,-72.000
anchor_01,1.000,raw,89,1781413914.738,-60.000
anchor_01,1.000,raw,90,1781413914.738,-73.000
anchor_01,1.000,raw,91,1781413914.738,-59.000
anchor_01,1.000,raw,92,1781413915.749,-59.000
anchor_01,1.000,raw,93,1781413916.040,-60.000
anchor_01,1.000,raw,94,1781413916.040,-57.000
anchor_01,1.000,raw,95,1781413916.857,-73.000
anchor_01,1.000,raw,96,1781413916.965,-58.000
anchor_01,1.000,raw,97,1781413917.912,-60.000
anchor_01,1.000,raw,98,1781413917.966,-60.000
anchor_01,1.000,raw,99,1781413917.966,-61.000
anchor_01,1.000,raw,100,1781413919.007,-73.000
anchor_01,1.000,raw,101,1781413919.117,-58.000
anchor_01,1.000,raw,102,1781413919.117,-60.000
anchor_01,1.000,raw,103,1781413920.134,-58.000
anchor_01,1.000,raw,104,1781413921.159,-60.000
anchor_01,1.000,raw,105,1781413921.479,-58.000
anchor_01,1.000,raw,106,1781413921.479,-59.000
anchor_01,1.000,raw,107,1781413921.479,-60.000
anchor_01,1.000,raw,108,1781413921.479,-60.000
anchor_01,1.000,raw,109,1781413922.412,-77.000
anchor_01,1.000,raw,110,1781413922.605,-60.000
anchor_01,1.000,raw,111,1781413923.354,-77.000
anchor_01,1.000,raw,112,1781413924.435,-59.000
anchor_01,1.000,raw,113,1781413924.642,-57.000
anchor_01,1.000,raw,114,1781413924.642,-59.000
anchor_01,1.000,raw,115,1781413924.642,-59.000
anchor_01,1.000,raw,116,1781413925.541,-56.000
anchor_01,1.000,raw,117,1781413925.607,-57.000
anchor_01,1.000,raw,118,1781413925.607,-72.000
anchor_01,1.000,raw,119,1781413925.607,-58.000
anchor_01,1.000,raw,120,1781413926.635,-59.000
anchor_01,1.000,raw,121,1781413926.697,-60.000
anchor_01,1.000,raw,122,1781413927.765,-59.000
anchor_01,1.000,raw,123,1781413927.820,-83.000
anchor_01,1.000,raw,124,1781413927.820,-60.000
