anchor,distance_m,field,sample_index,received_at,rssi_dbm
anchor_02,1.000,raw,1,1781409811.964,-63.000
anchor_02,1.000,raw,2,1781409812.110,-60.000
anchor_02,1.000,raw,3,1781409813.008,-65.000
anchor_02,1.000,raw,4,1781409813.061,-61.000
anchor_02,1.000,raw,5,1781409814.114,-60.000
anchor_02,1.000,raw,6,1781409814.463,-60.000
anchor_02,1.000,raw,7,1781409814.463,-63.000
anchor_02,1.000,raw,8,1781409815.184,-63.000
anchor_02,1.000,raw,9,1781409815.240,-61.000
anchor_02,1.000,raw,10,1781409816.264,-60.000
anchor_02,1.000,raw,11,1781409816.377,-60.000
anchor_02,1.000,raw,12,1781409817.309,-65.000
anchor_02,1.000,raw,13,1781409817.364,-60.000
anchor_02,1.000,raw,14,1781409819.550,-59.000
anchor_02,1.000,raw,15,1781409819.692,-65.000
anchor_02,1.000,raw,16,1781409820.477,-57.000
anchor_02,1.000,raw,17,1781409820.885,-57.000
anchor_02,1.000,raw,18,1781409821.559,-57.000
anchor_02,1.000,raw,19,1781409821.611,-58.000
anchor_02,1.000,raw,20,1781409821.611,-58.000
anchor_02,1.000,raw,21,1781409822.658,-67.000
anchor_02,1.000,raw,22,1781409822.723,-67.000
anchor_02,1.000,raw,23,1781409822.723,-58.000
anchor_02,1.000,raw,24,1781409822.723,-66.000
anchor_02,1.000,raw,25,1781409824.800,-65.000
anchor_02,1.000,raw,26,1781409824.984,-57.000
anchor_02,1.000,raw,27,1781409824.984,-74.000
anchor_02,1.000,raw,28,1781409825.891,-65.000
anchor_02,1.000,raw,29,1781409826.935,-59.000
anchor_02,1.000,raw,30,1781409826.990,-65.000
anchor_02,1.000,raw,31,1781409826.990,-68.000
anchor_02,1.000,raw,32,1781409827.369,-66.000
anchor_02,1.000,raw,33,1781409828.049,-61.000
anchor_02,1.000,raw,34,1781409829.096,-64.000
anchor_02,1.000,raw,35,1781409829.173,-63.000
anchor_02,1.000,raw,36,1781409830.192,-85.000
anchor_02,1.000,raw,37,1781409830.299,-65.000
anchor_02,1.000,raw,38,1781409831.236,-78.000
anchor_02,2.000,raw,1,1781409843.914,-66.000
anchor_02,2.000,raw,2,1781409844.126,-65.000
anchor_02,2.000,raw,3,1781409844.978,-65.000
anchor_02,2.000,raw,4,1781409845.038,-69.000
anchor_02,2.000,raw,5,1781409847.093,-72.000
anchor_02,2.000,raw,6,1781409847.213,-71.000
anchor_02,2.000,raw,7,1781409847.213,-73.000
anchor_02,2.000,raw,8,1781409848.168,-74.000
anchor_02,2.000,raw,9,1781409848.225,-65.000
anchor_02,2.000,raw,10,1781409849.254,-71.000
anchor_02,2.000,raw,11,1781409849.458,-76.000
anchor_02,2.000,raw,12,1781409850.375,-70.000
anchor_02,2.000,raw,13,1781409852.418,-65.000
anchor_02,2.000,raw,14,1781409852.516,-64.000
anchor_02,2.000,raw,15,1781409852.516,-64.000
anchor_02,2.000,raw,16,1781409856.558,-66.000
anchor_02,2.000,raw,17,1781409857.648,-86.000
anchor_02,2.000,raw,18,1781409858.660,-71.000
anchor_02,2.000,raw,19,1781409859.704,-65.000
anchor_02,2.000,raw,20,1781409860.791,-71.000
anchor_02,2.000,raw,21,1781409861.946,-66.000
anchor_02,2.000,raw,22,1781409861.992,-77.000
anchor_02,3.000,raw,1,1781409875.586,-75.000
anchor_02,3.000,raw,2,1781409875.671,-68.000
anchor_02,3.000,raw,3,1781409876.684,-70.000
anchor_02,3.000,raw,4,1781409877.714,-69.000
