anchor,distance_m,field,sample_index,received_at,rssi_dbm
anchor_01,1.000,raw,1,1781413776.342,-64.000
anchor_01,1.000,raw,2,1781413776.584,-69.000
anchor_01,1.000,raw,3,1781413776.584,-64.000
anchor_01,1.000,raw,4,1781413777.382,-66.000
anchor_01,1.000,raw,5,1781413778.439,-64.000
anchor_01,1.000,raw,6,1781413778.625,-62.000
anchor_01,1.000,raw,7,1781413779.520,-65.000
anchor_01,1.000,raw,8,1781413779.752,-63.000
anchor_01,1.000,raw,9,1781413780.668,-61.000
anchor_01,1.000,raw,10,1781413780.817,-63.000
anchor_01,1.000,raw,11,1781413781.626,-65.000
anchor_01,1.000,raw,12,1781413781.803,-63.000
anchor_01,1.000,raw,13,1781413782.707,-65.000
anchor_01,1.000,raw,14,1781413783.783,-73.000
anchor_01,1.000,raw,15,1781413784.801,-60.000
anchor_01,1.000,raw,16,1781413784.961,-60.000
anchor_01,1.000,raw,17,1781413784.961,-64.000
anchor_01,1.000,raw,18,1781413785.886,-64.000
anchor_01,1.000,raw,19,1781413786.102,-63.000
anchor_01,1.000,raw,20,1781413786.102,-64.000
anchor_01,1.000,raw,21,1781413786.102,-62.000
anchor_01,1.000,raw,22,1781413787.008,-62.000
anchor_01,1.000,raw,23,1781413787.220,-63.000
anchor_01,1.000,raw,24,1781413788.078,-69.000
anchor_01,1.000,raw,25,1781413788.133,-64.000
anchor_01,1.000,raw,26,1781413789.177,-69.000
anchor_01,1.000,raw,27,1781413789.272,-68.000
anchor_01,1.000,raw,28,1781413790.217,-68.000
anchor_01,1.000,raw,29,1781413790.336,-63.000
anchor_01,1.000,raw,30,1781413791.310,-61.000
anchor_01,1.000,raw,31,1781413791.426,-65.000
anchor_01,1.000,raw,32,1781413791.426,-63.000
anchor_01,1.000,raw,33,1781413792.376,-63.000
anchor_01,1.000,raw,34,1781413792.435,-62.000
anchor_01,1.000,raw,35,1781413792.435,-62.000
anchor_01,1.000,raw,36,1781413793.465,-65.000
anchor_01,1.000,raw,37,1781413794.576,-65.000
anchor_01,1.000,raw,38,1781413794.637,-68.000
anchor_01,1.000,raw,39,1781413795.609,-61.000
anchor_01,1.000,raw,40,1781413795.726,-61.000
anchor_01,1.000,raw,41,1781413796.659,-60.000
anchor_01,1.000,raw,42,1781413796.718,-61.000
anchor_01,1.000,raw,43,1781413797.810,-64.000
anchor_01,1.000,raw,44,1781413798.109,-64.000
anchor_01,1.000,raw,45,1781413798.109,-64.000
anchor_01,1.000,raw,46,1781413799.841,-64.000
anchor_01,1.000,raw,47,1781413800.023,-64.000
anchor_01,1.000,raw,48,1781413802.024,-64.000
anchor_01,1.000,raw,49,1781413802.083,-65.000
anchor_01,1.000,raw,50,1781413802.083,-64.000
anchor_01,1.000,raw,51,1781413803.036,-63.000
anchor_01,1.000,raw,52,1781413804.109,-64.000
anchor_01,1.000,raw,53,1781413804.250,-64.000
anchor_01,1.000,raw,54,1781413805.180,-67.000
anchor_01,1.000,raw,55,1781413805.230,-65.000
anchor_01,1.000,raw,56,1781413805.230,-65.000
anchor_01,1.000,raw,57,1781413806.287,-65.000
anchor_01,1.000,raw,58,1781413806.479,-65.000
anchor_01,1.000,raw,59,1781413807.311,-65.000
anchor_01,1.000,raw,60,1781413807.506,-66.000
anchor_01,1.000,raw,61,1781413807.506,-65.000
anchor_01,1.000,raw,62,1781413808.416,-66.000
anchor_01,1.000,raw,63,1781413809.451,-66.000
anchor_01,1.000,raw,64,1781413809.500,-67.000
anchor_01,1.000,raw,65,1781413809.500,-66.000
anchor_01,1.000,raw,66,1781413810.567,-67.000
anchor_01,1.000,raw,67,1781413810.978,-66.000
anchor_01,1.000,raw,68,1781413811.682,-66.000
anchor_01,1.000,raw,69,1781413811.903,-65.000
anchor_01,1.000,raw,70,1781413811.903,-65.000
anchor_01,1.000,raw,71,1781413812.711,-66.000
anchor_01,1.000,raw,72,1781413813.751,-67.000
anchor_01,1.000,raw,73,1781413814.848,-65.000
anchor_01,1.000,raw,74,1781413815.089,-65.000
anchor_01,1.000,raw,75,1781413815.886,-59.000
anchor_01,1.000,raw,76,1781413815.994,-61.000
anchor_01,1.000,raw,77,1781413815.994,-61.000
anchor_01,1.000,raw,78,1781413815.994,-60.000
anchor_01,1.000,raw,79,1781413817.137,-64.000
anchor_01,1.000,raw,80,1781413817.267,-61.000
anchor_01,1.000,raw,81,1781413817.267,-61.000
anchor_01,1.000,raw,82,1781413818.087,-62.000
anchor_01,1.000,raw,83,1781413818.256,-62.000
anchor_01,1.000,raw,84,1781413818.256,-64.000
anchor_01,1.000,raw,85,1781413819.167,-60.000
anchor_01,1.000,raw,86,1781413820.241,-62.000
anchor_01,1.000,raw,87,1781413821.265,-62.000
anchor_01,1.000,raw,88,1781413821.435,-62.000
anchor_01,1.000,raw,89,1781413821.435,-61.000
anchor_01,1.000,raw,90,1781413822.357,-61.000
anchor_01,1.000,raw,91,1781413824.433,-61.000
anchor_01,1.000,raw,92,1781413824.612,-61.000
anchor_01,1.000,raw,93,1781413824.612,-62.000
anchor_01,1.000,raw,94,1781413825.526,-61.000
anchor_01,1.000,raw,95,1781413826.583,-61.000
anchor_01,1.000,raw,96,1781413826.642,-62.000
anchor_01,1.000,raw,97,1781413826.643,-64.000
anchor_01,1.000,raw,98,1781413827.694,-62.000
anchor_01,1.000,raw,99,1781413827.749,-61.000
anchor_01,1.000,raw,100,1781413829.813,-61.000
anchor_01,1.000,raw,101,1781413829.922,-61.000
anchor_01,1.000,raw,102,1781413829.922,-61.000
anchor_01,1.000,raw,103,1781413830.884,-60.000
anchor_01,1.000,raw,104,1781413830.931,-60.000
anchor_01,1.000,raw,105,1781413831.964,-60.000
anchor_01,1.000,raw,106,1781413832.014,-61.000
anchor_01,1.000,raw,107,1781413832.015,-60.000
anchor_01,1.000,raw,108,1781413833.072,-70.000
anchor_01,1.000,raw,109,1781413833.125,-64.000
anchor_01,1.000,raw,110,1781413833.125,-64.000
anchor_01,1.000,raw,111,1781413834.201,-62.000
anchor_01,1.000,raw,112,1781413834.264,-66.000
anchor_01,1.000,raw,113,1781413835.498,-60.000
anchor_01,1.000,raw,114,1781413835.557,-62.000
anchor_01,1.000,raw,115,1781413835.557,-57.000
