anchor,distance_m,field,sample_index,received_at,rssi_dbm
anchor_03,1.000,raw,1,1781410012.479,-70.000
anchor_03,1.000,raw,2,1781410012.581,-63.000
anchor_03,1.000,raw,3,1781410012.581,-70.000
anchor_03,1.000,raw,4,1781410013.550,-64.000
anchor_03,1.000,raw,5,1781410013.714,-63.000
anchor_03,1.000,raw,6,1781410013.714,-64.000
anchor_03,1.000,raw,7,1781410013.715,-71.000
anchor_03,1.000,raw,8,1781410013.715,-71.000
anchor_03,1.000,raw,9,1781410014.665,-65.000
anchor_03,1.000,raw,10,1781410014.841,-65.000
anchor_03,1.000,raw,11,1781410015.752,-65.000
anchor_03,1.000,raw,12,1781410015.960,-78.000
anchor_03,1.000,raw,13,1781410016.855,-76.000
anchor_03,1.000,raw,14,1781410017.094,-67.000
anchor_03,1.000,raw,15,1781410018.010,-70.000
anchor_03,1.000,raw,16,1781410018.156,-71.000
anchor_03,1.000,raw,17,1781410020.061,-79.000
anchor_03,1.000,raw,18,1781410021.019,-74.000
anchor_03,1.000,raw,19,1781410022.102,-79.000
anchor_03,1.000,raw,20,1781410022.249,-74.000
anchor_03,1.000,raw,21,1781410024.165,-77.000
anchor_03,1.000,raw,22,1781410024.367,-68.000
anchor_03,1.000,raw,23,1781410025.276,-75.000
anchor_03,1.000,raw,24,1781410025.414,-68.000
anchor_03,1.000,raw,25,1781410026.335,-68.000
anchor_03,1.000,raw,26,1781410027.352,-69.000
anchor_03,1.000,raw,27,1781410027.744,-76.000
anchor_03,1.000,raw,28,1781410027.744,-68.000
anchor_03,1.000,raw,29,1781410028.451,-86.000
anchor_03,1.000,raw,30,1781410028.571,-67.000
anchor_03,1.000,raw,31,1781410029.513,-78.000
anchor_03,1.000,raw,32,1781410029.562,-74.000
anchor_03,1.000,raw,33,1781410030.715,-73.000
anchor_03,1.000,raw,34,1781410030.715,-67.000
anchor_03,1.000,raw,35,1781410030.715,-66.000
anchor_03,1.000,raw,36,1781410031.732,-68.000
anchor_03,1.000,raw,37,1781410031.830,-70.000
anchor_03,1.000,raw,38,1781410031.830,-68.000
anchor_03,1.000,raw,39,1781410031.830,-64.000
anchor_03,2.000,raw,1,1781410044.455,-68.000
anchor_03,2.000,raw,2,1781410044.646,-68.000
anchor_03,2.000,raw,3,1781410045.552,-72.000
anchor_03,2.000,raw,4,1781410045.688,-74.000
anchor_03,2.000,raw,5,1781410046.608,-76.000
anchor_03,2.000,raw,6,1781410046.683,-70.000
anchor_03,2.000,raw,7,1781410047.725,-69.000
anchor_03,2.000,raw,8,1781410047.808,-64.000
anchor_03,2.000,raw,9,1781410048.846,-75.000
anchor_03,2.000,raw,10,1781410048.934,-70.000
anchor_03,2.000,raw,11,1781410049.800,-70.000
anchor_03,2.000,raw,12,1781410050.895,-64.000
anchor_03,2.000,raw,13,1781410050.982,-64.000
anchor_03,2.000,raw,14,1781410050.982,-76.000
anchor_03,2.000,raw,15,1781410050.982,-70.000
anchor_03,2.000,raw,16,1781410052.103,-73.000
anchor_03,2.000,raw,17,1781410052.215,-75.000
anchor_03,2.000,raw,18,1781410053.235,-72.000
anchor_03,2.000,raw,19,1781410054.102,-70.000
anchor_03,2.000,raw,20,1781410054.672,-66.000
anchor_03,2.000,raw,21,1781410054.672,-65.000
anchor_03,2.000,raw,22,1781410055.194,-66.000
anchor_03,2.000,raw,23,1781410056.302,-66.000
