anchor,distance_m,field,sample_index,received_at,rssi_dbm
anchor_02,1.000,raw,1,1781419285.268,-58.000
anchor_02,1.000,raw,2,1781419286.359,-65.000
anchor_02,1.000,raw,3,1781419286.452,-65.000
anchor_02,1.000,raw,4,1781419286.452,-60.000
anchor_02,1.000,raw,5,1781419287.476,-58.000
anchor_02,1.000,raw,6,1781419289.524,-57.000
anchor_02,1.000,raw,7,1781419289.727,-60.000
anchor_02,1.000,raw,8,1781419290.556,-57.000
anchor_02,1.000,raw,9,1781419292.690,-68.000
anchor_02,1.000,raw,10,1781419292.921,-66.000
anchor_02,1.000,raw,11,1781419293.716,-62.000
anchor_02,1.000,raw,12,1781419294.037,-58.000
anchor_02,1.000,raw,13,1781419294.037,-57.000
anchor_02,1.000,raw,14,1781419294.038,-60.000
anchor_02,1.000,raw,15,1781419294.842,-63.000
anchor_02,1.000,raw,16,1781419294.966,-60.000
anchor_02,1.000,raw,17,1781419294.966,-58.000
anchor_02,1.000,raw,18,1781419295.905,-58.000
anchor_02,1.000,raw,19,1781419296.292,-60.000
anchor_02,1.000,raw,20,1781419296.993,-58.000
anchor_02,1.000,raw,21,1781419298.276,-71.000
anchor_02,1.000,raw,22,1781419299.070,-70.000
anchor_02,1.000,raw,23,1781419299.471,-71.000
anchor_02,1.000,raw,24,1781419299.471,-61.000
anchor_02,1.000,raw,25,1781419301.241,-61.000
anchor_02,1.000,raw,26,1781419301.290,-70.000
anchor_02,1.000,raw,27,1781419301.290,-61.000
anchor_02,1.000,raw,28,1781419301.290,-68.000
anchor_02,1.000,raw,29,1781419301.291,-60.000
anchor_02,1.000,raw,30,1781419302.365,-60.000
anchor_02,1.000,raw,31,1781419302.423,-70.000
anchor_02,1.000,raw,32,1781419303.395,-72.000
anchor_02,1.000,raw,33,1781419303.562,-56.000
anchor_02,1.000,raw,34,1781419304.468,-62.000
anchor_02,1.000,raw,35,1781419304.596,-56.000
anchor_02,1.000,raw,36,1781419305.539,-61.000
anchor_02,1.000,raw,37,1781419305.598,-55.000
anchor_02,1.000,raw,38,1781419305.599,-70.000
anchor_02,1.000,raw,39,1781419306.121,-60.000
anchor_02,1.000,raw,40,1781419306.122,-60.000
anchor_02,1.000,raw,41,1781419306.669,-70.000
anchor_02,1.000,raw,42,1781419306.718,-60.000
anchor_02,1.000,raw,43,1781419307.750,-61.000
anchor_02,1.000,raw,44,1781419308.790,-61.000
anchor_02,1.000,raw,45,1781419308.879,-61.000
anchor_02,1.000,raw,46,1781419309.895,-56.000
anchor_02,1.000,raw,47,1781419310.923,-69.000
anchor_02,1.000,raw,48,1781419310.975,-56.000
anchor_02,1.000,raw,49,1781419310.975,-71.000
anchor_02,1.000,raw,50,1781419310.975,-61.000
anchor_02,1.000,raw,51,1781419311.131,-56.000
anchor_02,1.000,raw,52,1781419312.046,-60.000
anchor_02,1.000,raw,53,1781419312.096,-61.000
anchor_02,1.000,raw,54,1781419313.146,-57.000
anchor_02,1.000,raw,55,1781419313.197,-61.000
anchor_02,1.000,raw,56,1781419313.197,-56.000
anchor_02,1.000,raw,57,1781419314.276,-61.000
anchor_02,1.000,raw,58,1781419314.531,-65.000
anchor_02,1.000,raw,59,1781419314.531,-59.000
anchor_02,1.000,raw,60,1781419315.457,-59.000
anchor_02,1.000,raw,61,1781419316.368,-60.000
anchor_02,1.000,raw,62,1781419316.424,-72.000
anchor_02,1.000,raw,63,1781419317.474,-74.000
anchor_02,1.000,raw,64,1781419317.626,-72.000
anchor_02,1.000,raw,65,1781419318.539,-57.000
anchor_02,1.000,raw,66,1781419318.586,-56.000
anchor_02,1.000,raw,67,1781419318.586,-57.000
anchor_02,1.000,raw,68,1781419319.778,-61.000
anchor_02,1.000,raw,69,1781419320.648,-58.000
anchor_02,1.000,raw,70,1781419320.798,-65.000
anchor_02,1.000,raw,71,1781419320.798,-66.000
anchor_02,1.000,raw,72,1781419321.775,-59.000
