anchor,distance_m,field,sample_index,received_at,rssi_dbm
anchor_04,1.000,raw,1,1781414775.882,-65.000
anchor_04,1.000,raw,2,1781414776.954,-63.000
anchor_04,1.000,raw,3,1781414777.088,-65.000
anchor_04,1.000,raw,4,1781414777.088,-64.000
anchor_04,1.000,raw,5,1781414778.021,-64.000
anchor_04,1.000,raw,6,1781414778.069,-67.000
anchor_04,1.000,raw,7,1781414778.069,-64.000
anchor_04,1.000,raw,8,1781414779.153,-62.000
anchor_04,1.000,raw,9,1781414779.208,-64.000
anchor_04,1.000,raw,10,1781414779.209,-64.000
anchor_04,1.000,raw,11,1781414779.209,-62.000
anchor_04,1.000,raw,12,1781414780.242,-59.000
anchor_04,1.000,raw,13,1781414780.343,-60.000
anchor_04,1.000,raw,14,1781414781.360,-69.000
anchor_04,1.000,raw,15,1781414781.461,-60.000
anchor_04,1.000,raw,16,1781414782.383,-66.000
anchor_04,1.000,raw,17,1781414782.491,-63.000
anchor_04,1.000,raw,18,1781414783.445,-67.000
anchor_04,1.000,raw,19,1781414783.499,-67.000
anchor_04,1.000,raw,20,1781414783.499,-63.000
anchor_04,1.000,raw,21,1781414784.532,-64.000
anchor_04,1.000,raw,22,1781414785.872,-69.000
anchor_04,1.000,raw,23,1781414787.682,-70.000
anchor_04,1.000,raw,24,1781414787.928,-69.000
anchor_04,1.000,raw,25,1781414788.835,-67.000
anchor_04,1.000,raw,26,1781414788.988,-62.000
anchor_04,1.000,raw,27,1781414789.796,-66.000
anchor_04,1.000,raw,28,1781414790.930,-66.000
anchor_04,1.000,raw,29,1781414791.036,-61.000
anchor_04,1.000,raw,30,1781414791.036,-67.000
anchor_04,1.000,raw,31,1781414791.958,-66.000
anchor_04,1.000,raw,32,1781414792.983,-61.000
anchor_04,1.000,raw,33,1781414794.058,-63.000
anchor_04,1.000,raw,34,1781414794.202,-65.000
anchor_04,1.000,raw,35,1781414795.121,-64.000
anchor_04,1.000,raw,36,1781414795.176,-64.000
anchor_04,1.000,raw,37,1781414795.176,-66.000
anchor_04,1.000,raw,38,1781414796.249,-65.000
anchor_04,1.000,raw,39,1781414796.314,-63.000
anchor_04,1.000,raw,40,1781414797.261,-64.000
anchor_04,1.000,raw,41,1781414797.359,-67.000
anchor_04,1.000,raw,42,1781414797.359,-67.000
anchor_04,1.000,raw,43,1781414797.359,-62.000
anchor_04,1.000,raw,44,1781414798.386,-67.000
anchor_04,1.000,raw,45,1781414798.577,-66.000
anchor_04,1.000,raw,46,1781414798.577,-66.000
anchor_04,1.000,raw,47,1781414799.483,-67.000
anchor_04,1.000,raw,48,1781414799.589,-67.000
anchor_04,1.000,raw,49,1781414799.589,-63.000
anchor_04,1.000,raw,50,1781414800.559,-63.000
anchor_04,1.000,raw,51,1781414801.633,-67.000
anchor_04,1.000,raw,52,1781414801.854,-64.000
anchor_04,1.000,raw,53,1781414802.766,-63.000
anchor_04,1.000,raw,54,1781414803.725,-68.000
anchor_04,1.000,raw,55,1781414803.905,-69.000
anchor_04,1.000,raw,56,1781414803.905,-69.000
anchor_04,1.000,raw,57,1781414805.016,-65.000
anchor_04,1.000,raw,58,1781414805.067,-64.000
anchor_04,1.000,raw,59,1781414805.908,-65.000
anchor_04,1.000,raw,60,1781414805.960,-67.000
anchor_04,1.000,raw,61,1781414805.960,-66.000
anchor_04,1.000,raw,62,1781414807.035,-62.000
anchor_04,1.000,raw,63,1781414807.087,-65.000
anchor_04,1.000,raw,64,1781414808.191,-64.000
anchor_04,1.000,raw,65,1781414808.345,-63.000
anchor_04,1.000,raw,66,1781414808.345,-63.000
anchor_04,1.000,raw,67,1781414809.152,-66.000
anchor_04,1.000,raw,68,1781414809.329,-66.000
anchor_04,1.000,raw,69,1781414809.329,-64.000
anchor_04,1.000,raw,70,1781414810.246,-64.000
anchor_04,1.000,raw,71,1781414810.456,-61.000
anchor_04,1.000,raw,72,1781414811.311,-68.000
anchor_04,1.000,raw,73,1781414811.357,-65.000
anchor_04,1.000,raw,74,1781414811.357,-65.000
anchor_04,1.000,raw,75,1781414812.473,-63.000
anchor_04,1.000,raw,76,1781414812.704,-65.000
anchor_04,1.000,raw,77,1781414812.704,-61.000
anchor_04,1.000,raw,78,1781414812.705,-63.000
anchor_04,1.000,raw,79,1781414812.705,-63.000
anchor_04,1.000,raw,80,1781414813.538,-57.000
anchor_04,1.000,raw,81,1781414813.587,-59.000
anchor_04,1.000,raw,82,1781414814.651,-60.000
anchor_04,1.000,raw,83,1781414814.746,-61.000
anchor_04,1.000,raw,84,1781414815.679,-62.000
anchor_04,1.000,raw,85,1781414815.875,-65.000
anchor_04,1.000,raw,86,1781414815.875,-63.000
anchor_04,1.000,raw,87,1781414816.790,-64.000
anchor_04,1.000,raw,88,1781414817.818,-64.000
anchor_04,1.000,raw,89,1781414817.887,-66.000
anchor_04,1.000,raw,90,1781414817.887,-62.000
anchor_04,1.000,raw,91,1781414818.939,-66.000
anchor_04,1.000,raw,92,1781414818.988,-64.000
anchor_04,1.000,raw,93,1781414818.988,-66.000
